combo,n,win_rate,pnl,pf
bb_pullback_zone_15m + macd_above_signal_60m + break_prev_high,2063,27.97,-39901.0,0.405
bb2_touch_60m + macd_golden_cross_60m + break_2bar_high,3,33.33,-56.0,0.404
bb_pullback_zone_60m + macd_above_signal_15m + break_2bar_high,899,28.14,-16708.0,0.404
bb_pullback_zone_15m + macd_above_signal_30m + break_2bar_high,1662,27.74,-31929.0,0.404
bb_pullback_zone_15m + macd_positive_15m + break_2bar_high,1689,27.71,-32618.0,0.402
bb_pullback_zone_15m + macd_golden_cross_30m + break_2bar_high,6,16.67,-147.0,0.4
bb_pullback_zone_15m + macd_above_signal_15m + break_2bar_high,1059,28.33,-20053.0,0.396
bb_width_expand_30m + macd_golden_cross_30m + break_2bar_high,29,27.59,-683.0,0.391
bb_width_expand_30m + macd_golden_cross_30m + break_prev_high,30,26.67,-700.0,0.385
bb_width_expand_15m + macd_golden_cross_30m + break_2bar_high,29,27.59,-713.0,0.381
bb_upper_zone_15m + macd_golden_cross_30m + break_prev_high,29,27.59,-718.0,0.379
bb_upper_zone_15m + macd_golden_cross_30m + break_2bar_high,29,27.59,-718.0,0.379
bb_pullback_zone_15m + macd_hist_up_60m + break_2bar_high,156,24.36,-3392.0,0.377
bb_width_expand_15m + macd_golden_cross_30m + break_prev_high,30,26.67,-730.0,0.376
bb_pullback_zone_60m + macd_golden_cross_30m + break_2bar_high,27,25.93,-689.0,0.368
bb_pullback_zone_30m + macd_golden_cross_30m + break_2bar_high,31,25.81,-807.0,0.352
bb_pullback_zone_60m + macd_golden_cross_30m + break_prev_high,29,24.14,-768.0,0.343
bb2_touch_15m + macd_golden_cross_30m + break_prev_high,25,28.0,-660.0,0.341
bb2_touch_15m + macd_golden_cross_30m + break_2bar_high,25,28.0,-660.0,0.341
bb_pullback_zone_30m + macd_golden_cross_30m + break_prev_high,33,24.24,-886.0,0.331
bb2_touch_60m + macd_hist_up_60m + break_2bar_high,30,30.0,-720.0,0.328
bb_pullback_zone_15m + macd_golden_cross_30m + break_prev_high,8,12.5,-226.0,0.302
bb2_touch_60m + macd_golden_cross_30m + break_prev_high,4,25.0,-118.0,0.244
bb2_touch_60m + macd_golden_cross_30m + break_2bar_high,4,25.0,-118.0,0.244
bb2_touch_60m + macd_golden_cross_60m + break_prev_high,4,25.0,-118.0,0.244
bb_pullback_zone_15m + macd_golden_cross_60m + break_prev_high,19,21.05,-498.0,0.19
bb_pullback_zone_15m + macd_golden_cross_60m + break_2bar_high,17,17.65,-449.0,0.188
